Track.Name,Artist.Name,Genre,Popularity
Senorita,Shawn Mendes,Canadian pop,79
China,Anuel AA,Reggaeton flow,92
boyfriend (with Social House),Ariana Grande,Dance pop,85
Beautiful People (feat. Khalid),Ed Sheeran,Pop,NaN
Goodbyes (Feat. Young Thug),Post Malone,DFW rap,94
I Don't Care (with Justin Bieber),Ed Sheeran,Pop,84
Ransom,Lil Tecca,Trap music,92
How Do You Sleep?,Sam Smith,Pop,90
Old Town Road - Remix,Lil Nas X,Country rap,87
bad guy,Billie Eilish,Electropop,95
Callaita,Bad Bunny,Reggaeton,93
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,Dance pop,86
Someone You Loved,Lewis Capaldi,Pop,88
Otro Trago - Remix,Sech,Panamanian pop,87
Money In The Grave (Drake ft. Rick Ross),Drake,Canadian hip hop,92
No Guidance (feat. Drake),Chris Brown,Dance pop,82
LA CANCION,J Balvin,Latin,90
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,DFW rap,91
Lalala,Y2K,NaN,88
Truth Hurts,Lizzo,Escape room,91
Piece Of Your Heart,MEDUZA,Pop house,91
Panini,Lil Nas X,Country rap,91
No Me Conoce - Remix,Jhay Cortez,Reggaeton flow,83
Soltera - Remix,Lunay,Latin,91
bad guy (with Justin Bieber),Billie Eilish,Electropop,NaN
